"Slug","Title","Kunde","Innledning","År","Tjenester","Industri","Mål","Utfordringen","Løsningen","Resultater","Kundeuttalelse","Læringspunkter","Veien videre","Cover Image","Cover Image:alt","Image 1","Image 1:alt","Image 2","Image 2:alt","Image 3","Image 3:alt","Image 4","Image 4:alt","Lokasjon","Status","Stat 1","Stat 2"
"dgv","Samskaping av fremtiden for Den Gamle Veterinærhøgskolen","Oslo kommune og Linstow AS","Den gamle veterinærhøgskolen på Adamstuen i Oslo er en av Oslo kommunes største eiendomskjøp noen sinne. Tomten, de gamle byggene og nybygg skal skape et grønt, varmt og skapende sted i sentrum av byen. Vi har støttet kommunen og Linstow AS med å involvere innbyggere, naboer og interessenter for å finne ut hvordan Linstow og Oslo kommune kan oppnå denne visjonen sammen.","2024","Arkitektur og Urbanisme, Innovasjon i offentlig sektor","Bygg- og byutvikling","Bidra til et grønnere, varmere og mer skapende nabolag – og etablere en felles retning for utviklingen av DGV mot 2040.","Hvordan kan utviklingen av området Den gamle veterinærhøgskolen bidra til et «grønnere, varmere og mer skapende» nabolag, på tvers av aktører, bygg og behov?","Gjennom 2024 ledet vi en todelt medvirknings- og samskapingsprosess. Vi startet med offentlig utstilling og fire workshops med ulike innbyggergrupper, oversatte innsikt til personas og tematiske behov, og fasiliterte syv samskapingsworkshops med Oslo kommune, Linstow og offentlige aktører. Vi brukte scenarioverktøy og samfunnsfloker for å utvikle forslag på tvers av sektorer.","<ul><li>Innsamling av innspill fra 200+ innbyggere og samarbeid med 15 offentlige aktører</li><li>28 forslag til flerbruk og innhold i bygg</li><li>5 fremtidsscenarioer for området mot 2040</li><li>18 tverrsektorielle samarbeidsområder</li><li>Ny modell for «tykk samskaping» – behov før løsninger</li></ul>",,"<ul><li>Tidlig, bred medvirkning gir bedre behovsforståelse</li><li>Tverrsektoriell samskaping styrker forankring</li><li>Arbeid med scenarioer og «samfunnsfloker» gir retning før tiltak</li></ul>","Grunnlaget brukes videre i den langsiktige utviklingen frem mot 2040, med vekt på sosial og miljømessig bærekraft.","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1754488681564-0KCDQ9ASY8AJ85PGTCT8/DSCF0450.JPG","Medvirkningsworkshop
 på Adamstuen – samtaler rundt kart og plansjer","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1737120348669-HMZ0AFHSFDYYXWM3ED6I/DSCF0467.JPG","Deltaker
 fyller ut skjema ved stort områdekart","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1754488682137-VXZCCFLON7CCILV44VOO/DSCF0407.JPG","Gruppejobbing
 i bydelssal med kartvegger og plansjer","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1754488687192-TQRKKC7OMBFN0DBZDFEZ/DSCF0572.JPG","Samskaping
 med LEGO og lapper – idéutforsking på kart","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1737121914446-WE1JO34VYVO2D3MUVKE5/Skjermbilde%2B2025-01-17%2Bkl.%2B14.51.17.png","Oppsummeringsslide
: «Hva dette har resultert i så langt»","Adamstuen, Oslo","Pågående","200+ innbyggere","15 offentlige aktører"
"nardovegen-sit","En studentbolig som motvirker ensomhet","Studentsamskipnaden i Trondheim (SiT)","Sammen med SiT utforsket vi hvordan arkitektur kan redusere ensomhet blant studenter. Prosjektet viste hvordan sosial design og fellesarealer kan styrke tilhørighet og trivsel i studentboliger.","2023","Arkitektur og Urbanisme","Utdanning og bolig","Utforske hvordan arkitektonisk design kan bidra til å redusere ensomhet og øke sosialt fellesskap blant studenter.","Mange studenter opplever ensomhet og lav tilhørighet, særlig etter pandemien. SiT ønsket å skape boliger som aktivt fremmer sosiale møteplasser og fellesskap.","Vi designet fleksible og multifunksjonelle fellesområder i de nye studentboligene i Nardovegen, med fokus på deltakelse, sosial kontakt og eierskap til rommene. Gjennom workshops med studenter og ansatte utviklet vi konsept og en håndbok for brukermedvirkning som nå brukes i SiTs videre byggeprosjekter.","<ul><li>Nytt konsept for sosiale og fleksible fellesarealer</li><li>Designhåndbok for brukermedvirkning</li><li>Modellen påvirker nye studentboligprosjekter hos SiT</li></ul>",,"<ul><li>Arkitektur kan bidra til sosial bærekraft</li><li>Brukermedvirkning gir eierskap og bedre løsninger</li><li>Tverrfaglig samarbeid styrker forståelsen av behov</li></ul>","Metoden og funnene brukes i planleggingen av nye SiT-boliger i Trondheim.","https://www.comte.no/_next/image?url=%2Fimages%2FA4%20-%20139.png&w=3840&q=75","Konseptvisualisering av sosialt fellesområde i Nardovegen","https://www.comte.no/_next/image?url=%2Fimages%2FA4%20-%2031.png&w=3840&q=75","Fleksible møteplasser og studieområder","https://www.comte.no/_next/image?url=%2Fimages%2FA4%20-%20111.png&w=3840&q=75","Workshop med studenter om sosial arkitektur","https://www.comte.no/_next/image?url=%2Fimages%2FA4%20-%20113.png&w=3840&q=75","Utforming av vrimlerom og sosiale soner","https://www.comte.no/_next/image?url=%2Fimages%2FA4%20-%20136.png&w=3840&q=75","Illustrasjon av nye studentboliger i Nardovegen","Trondheim","Fullført","150+ studenter involvert","5 workshops"
"hjemveien","Hjemveien: Fra 186 til 10 personer i kø for kommunal bolig","Sarpsborg kommune","Sammen med Sarpsborg kommune utviklet vi Hjemveien – en ny måte å støtte innbyggere i kommunale boliger. Tjenesten ble nominert til både Innovasjonsprisen og Østfoldprisen.","2022","Innovasjon i offentlig sektor, Arbeid og inkludering","Offentlig sektor, Bolig og velferd","Skape en helhetlig og effektiv boligtjeneste som hjelper flere raskere over i egen bolig.","Kommunale boligtjenester var fragmenterte, tidkrevende og lite koordinerte, noe som førte til lang ventetid og ineffektiv ressursbruk.","Vi utviklet Hjemveien – et veiledningsverktøy og en samtalemetodikk som hjelper brukerne å forstå og navigere i boligtjenestene. Mappen samler informasjon på ett sted, gir lik oppfølging og frigjør tid for ansatte. Den leder brukerne mot Startlån og overgangen til egen bolig.","<ul><li>Køen redusert fra 186 til 10 personer</li><li>Nominert til Innovasjonsprisen og Østfoldprisen</li><li>Fremhevet av OECD som forbildeprosjekt</li></ul>",,"<ul><li>Tydelig kommunikasjon og veiledning gir raskere selvstendighet</li><li>Helhetlige tjenester frigjør tid for ansatte</li><li>Samskaping mellom bruker og tjeneste gir bedre resultater</li></ul>","Modellen brukes som inspirasjon i andre kommuner for å styrke boligsosiale tjenester.","https://www.comte.no/_next/image?url=%2Fimages%2Fboligsosialt.jpg&w=3840&q=75","Veiledningsmappen Hjemveien – støtte til bolig og selvstendighet","https://www.comte.no/_next/image?url=%2Fimages%2Fboligsosialt%202.jpg&w=3840&q=75","Bruk av Hjemveien i møte mellom saksbehandler og innbygger",,,,,,"Sarpsborg","Fullført","186 til 10 personer i kø","Nominert til Innovasjonsprisen"
"statsbygg-arkkvalitet","Økt fokus på arkitektonisk kvalitet","Statsbygg","Statsbygg ønsket å løfte arkitektonisk kvalitet som et tydeligere og mer operativt kriterium i sine byggeprosjekter. Vi hjalp dem med å utvikle et felles språk og praktiske verktøy som gjør kvalitetsvurderinger mer konkrete.","2023","Innovasjon i offentlig sektor","Offentlig sektor, Bygg og eiendom","Styrke arbeidet med arkitektonisk kvalitet i Statsbyggs prosesser.","Arkitektonisk kvalitet ble vurdert ulikt på tvers av fagmiljøer.","","Et mer felles og operativt forstått kvalitetsbegrep og større tydelighet i vurderinger av arkitektonisk kvalitet.","","","","","https://static1.squarespace.com/static/64e366db2607f31b2c125e32/64e366dc2607f31b2c125e74/651fe5398be289327249d0d4/1733842174613/Cover%2B%288%29.jpg","","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/1693483014139-NFFTUPN48NZH2H48A6ZF/IMG20220426080159.jpg","","https://www.yumpu.com/no/image/facebook/31591278.jpg","","https://images.squarespace-cdn.com/content/v1/5c372196f407b455445225dc/44b74aae-545c-49d6-96b7-fc68c0492151/guide%2Btil%2Bworkshop%2Bdesign%2Bcomte%2Bbureau.jpg","","","Oslo","Fullført","8 workshops","20+ fagmiljøer"
"pbe-fri","FRI: Funksjon for radikal innovasjon","Plan- og bygningsetaten i Oslo","Vi støttet PBE i utviklingen av FRI – en struktur og metode for å gjøre innovasjon mulig i en regelstyrt organisasjon. Målet var å skape mer rom for idéutvikling, testing og nytenking.","2022","Innovasjon i offentlig sektor","Offentlig sektor","Gjøre innovasjon mulig i en stor og regelstyrt etat.","Ansatte hadde mange idéer, men manglet tid, struktur og mandat til å utvikle dem.","Vi utviklet en hybrid modell med ansattdrevne innovasjonsløp, støtteapparat, fasiliteringsformater og dedikerte arenaer som «FRI-time» og «FRI-uke».","En etablert innovasjonsfunksjon som er koblet til ledelsen, og som gir rom for utprøving og kulturendring.","","","","","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/9d2cb34d-6898-4614-badd-828cfe9d92fd/presenterte-resultater.png","","https://images.squarespace-cdn.com/content/v1/64e366db2607f31b2c125e32/ebc3e858-7b50-46d9-ad95-ac3ec4c941ef/Workshop%2Bfor%2Bstudenter%2Bom%2Bny%2Bhelsestasjon.jpg","","","","","","Oslo","Pågående","12 innovasjonsløp","50+ ansatte deltok"
"living-as-a-service","Teaching Living as a Service","AHO + OBOS Living Lab","Et tverrfaglig masterkurs som utforsket nye boligløsninger og tjenester, i samarbeid mellom arkitektur, tjenestedesign og boliginnovasjon.","2020","Arkitektur og Urbanisme","Utdanning og bolig","Utforske nye boligtypologier og tjenestebaserte boformer.","Boligutviklingen henger ikke med endringer i livsstil, teknologi og sosiale behov.","Studentene utviklet konsepter basert på innsikt, prototyper og samskaping, i samarbeid med OBOS Living Lab.","Flere konsepter og nye metoder for kombinasjonen av arkitektur og tjenestedesign.","","","","","https://miro.medium.com/v2/resize%3Afit%3A1200/1%2AJXqniViG90iQ2Q_YImFUcA.jpeg","","","","","","","","Oslo","Fullført","25+ studenter","8 konsepter utviklet"
"luster-helse-omsorg","Helse og omsorg i Luster kommune 2030","Luster kommune + HRP AS","Vi hjalp Luster kommune med et kunnskapsgrunnlag for fremtidige helse- og omsorgstjenester. Gjennom innsikt og tjenestedesign utviklet vi strategier som støtter bærekraftige tjenester og smartere investeringer.","2024","Helse og omsorg, Innovasjon i offentlig sektor, Tjenestedesign","Offentlig sektor, Helse og omsorg","Gi et tydelig bilde av framtidige behov og hvordan tjenester og bygg kan utvikles for å møte dem.","Luster sto i utfordringer knyttet til økt tjenestebehov, rekruttering og utdatert bygg- og tjenestestruktur. Kommunen trengte en helthetlig forståelse av hva som faktisk må utvikles videre.","Vi gjennomførte intervjuer, observasjoner og workshops for å identifisere forbedringsområder og utvikle strategiske retninger. Fire mulighetsrom ble definert som grunnlag for framtidig planlegging av helse- og omsorgstjenestene.","<ul><li>Felles forståelse av utfordringsbildet</li><li>Fire strategiske mulighetsrom</li><li>Bedre grunnlag for byggeinvesteringer og tjenesteutvikling</li></ul>",,"<ul><li>Brukerinvolvering gir større treffsikkerhet</li><li>Tverrfaglighet styrker beslutningsgrunnlaget</li><li>Kombinasjon av kvalitative og kvantitative data er avgjørende</li></ul>","Mulighetsrommene brukes videre som grunnlag for politiske beslutninger og videre tjenesteutvikling.","IMG_3791+%281%29.jpg","Workshop med ansatte og brukere","IMG_3804+2.jpg","Feltobservasjoner i helse- og omsorgstjenesten","IMG_3790.jpg","Innsiktsarbeid på omsorgssentre",,,,"Luster","Pågående","Intervjuer, observasjoner og workshops","4 strategiske mulighetsrom"
"dialogverktoy-industri","Dialogverktøy for fremtidens industri","DOGA og Siva","Vi utviklet et dialogverktøy som hjelper kommuner og industriaktører å sette felles retning tidlig i nye industrietableringer – for mer bærekraftige, inkluderende og stedstilpassede prosesser.","2024","Innovasjon i offentlig sektor, Grønt skifte, Tjenestedesign","Industri, Offentlig sektor","Styrke samarbeid og ambisjonsnivå i tidlige faser av industriutvikling.","Dialog mellom aktører starter ofte sent og uten struktur, noe som gir svak forankring og lite rom for helhetlig bærekraft. DOGA og Siva ønsket et verktøy som skaper tidligere og bedre samtaler.","Vi utviklet et digitalt verktøy som kartlegger ambisjoner innen ni temaer knyttet til industrietablering. Det hjelper aktører å identifisere felles mål, diskutere utfordringer og konkretisere neste steg – med utgangspunkt i New European Bauhaus.","<ul><li>Digitalt dialogverktøy med ni bærekrafttemaer</li><li>Styrket samarbeid mellom kommune og industri</li><li>Bedre grunnlag for grønne og stedstilpassede etableringer</li></ul>",,"<ul><li>Tidlig dialog gir bedre beslutninger</li><li>Struktur skaper bedre forankring</li><li>Iterativ utvikling forbedrer treffsikkerheten</li></ul>","Verktøyet videreutvikles og brukes som del av større satsing på bærekraftig industriutvikling.","Dialogverktøy 1.png","Oversikt over dialogverktøyet i bruk","Dialogverktøy 2.png","Ambisjonskartlegging på tvers av aktører","unnamed (1).jpg","Workshop med kommune og industri","Kopi av DSCF0356.JPG","Fasilitert dialogsesjon","Kopi av DSCF0342.JPG","Kartlegging av ambisjoner i praksis","Norge","Fullført","Ni tematiske vurderingsområder","Brukertestet gjennom intervjuer og prototyper"
"hackathon-gront-skifte","Hackathon for det grønne skiftet","Oslo kommune + Big Buyers (EU)","Vi arrangerte et internasjonalt hackathon for å utvikle løsninger for elektrifisering av byggeplasser og tunge kjøretøy. Over to dager samlet vi eksperter, kommuner og europeiske fagnettverk for å utvikle konkrete konsepter for det grønne skiftet.","2025","Grønt skifte, Innovasjon i offentlig sektor, Tjenestedesign","Transport, Bygg og anlegg, Offentlig sektor","Utvikle praktiske konsepter som kan styrke elektrifisering og bærekraftige offentlige anskaffelser i Europa.","Mange aktører mangler felles perspektiv og struktur i tidlige dialoger om grønn omstilling. Det gjør samarbeidet svakt og hindrer skalering av utslippsfrie løsninger.","Vi gjennomførte en design-drevet hackathonprosess med fire team. Deltakerne utviklet konsepter for kunnskapsdeling, sambruk av ladeinfrastruktur, innovasjonskonkurranser og spillbasert anskaffelsesdialog.","<ul><li>Kunnskapstårnet – AI-drevet delingsverktøy</li><li>HITCH – plattform for deling av ladeinfrastruktur</li><li>FlexCharge Challenge – stimulering av smarte ladeløsninger</li><li>Tender Tinder – brettspill for bedre markedsdialog</li></ul>",,"<ul><li>Strukturert samhandling gir bedre innovasjon</li><li>Felles problemforståelse gir raskere fremdrift</li><li>Prototyping i grupper øker kvaliteten på løsninger</li></ul>","Konseptene testes videre i Big Buyers-nettverkene og brukes som grunnlag for nye europeiske initiativer.","Dialogverktøy 1.png","Introduksjon av hackathon og teamene","Dialogverktøy 2.png","Gruppene utvikler konsepter","unnamed (1).jpg","Deltakere samarbeider om prototyper","Kopi av DSCF0356.JPG","Utvikling av idé-skisser","Kopi av DSCF0342.JPG","Presentasjon av konsepter","Oslo","Fullført","3 europeiske nettverk samlet","4 konsepter utviklet"
"pa-lik-linje","På lik linje – overgangen til egen bolig","Asker kommune + Rambøll","Vi utforsket hvordan unge med nevrodivergens kan få bedre støtte i overgangen til å bo på egenhånd. Prosjektet utviklet tiltak som både støtter målgruppen og unge generelt i overgangen til egen bolig.","2024","Helse og omsorg, Innovasjon i offentlig sektor, Tjenestedesign","Offentlig sektor, Bolig og velferd","Støtte unge nevrodivergente i å planlegge, lære og mestre det å bo selvstendig.","Unge og pårørende opplever lite koordinert støtte og manglende oversikt i overgangen til egen bolig. Kommunen trengte løsninger som både møter individuelle behov og kan fungere bredt i tjenestene.","Vi utviklet to tiltak: «Helt mitt» – en digital plattform som samler informasjon og støtte knyttet til det å flytte hjemmefra, og rollen «Boligfadder» – en tillitsperson som følger den unge gjennom hele boligreisen.","<ul><li>Digital plattform for selvstendiggjøring</li><li>Boligfadder-modell for trygg oppfølging</li><li>Forventede gevinster for både samfunn og individ</li></ul>",,"<ul><li>Bred involvering gir treffsikre tiltak</li><li>Kombinasjon av digitale og menneskelige støtteverktøy</li><li>Tverrfaglig innsatsgruppe gir helhetlige løsninger</li></ul>","Tiltakene videreutvikles gjennom implementeringsplan i Asker kommune.","Heltmitt_homepage.png","Forside fra «Helt mitt»-plattformen","Tjenestereise_Heltmitt.png","Helt mitt – tjenestereise og innsikt","",,,,,"Asker","Pågående","Intervjuer, skoler og 3 workshops","To hovedtiltak utviklet"
